host_monotonic_s,session_id,command_sequence,applied_sequence,state,reject_reason,command_age_ms,ack_latency_ms,rssi_dbm,response_mask,leader_0,leader_1,leader_2,leader_3,leader_4,leader_5,target_0,target_1,target_2,target_3,target_4,target_5,measured_0,measured_1,measured_2,measured_3,measured_4,measured_5
24054.955863986,3597147943,177,176,1,0,9,66.62405500173918,-37,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24055.056076935,3597147943,180,179,1,0,9,66.85848900087876,-37,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24055.156094473,3597147943,183,182,1,0,3,66.37868600228103,-37,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24055.255972417,3597147943,186,185,1,0,10,66.67340800049715,-37,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24055.35606521,3597147943,189,188,1,0,10,66.66436299929046,-37,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24055.455896874,3597147943,192,191,1,0,9,66.53954300054465,-37,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24055.555917952,3597147943,195,194,1,0,9,66.62337599846069,-37,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24055.655987183,3597147943,198,197,1,0,9,66.6952389983635,-37,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24055.75595752,3597147943,201,200,1,0,4,66.6287359999842,-37,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
24055.855975019,3597147943,204,203,1,0,9,66.68627899853163,-37,63,5.084745762711876,-98.17880794701986,93.17286652078775,58.66943866943868,-0.41514041514041367,2.5716385011021305,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977,0.08130098175793898,-1.8392429646748838,1.5232429223704418,1.533980787885641,2.6307770512238746,-0.483203948183977
